 # time (fs)    drift velocity (cm/s)    drift acceleration (cm/s2)
        3980.0000  -9.4539255395270903E+06   9.1657492551021278E+01
        3990.0000  -9.4530023037667256E+06   9.2323576036468154E+01
        4000.0000  -9.4520726164975446E+06   9.2968726918101311E+01
        4010.0000  -9.4511366838502325E+06   9.3593264731206006E+01
        4020.0000  -9.4501947087915242E+06   9.4197505870833993E+01
        4030.0000  -9.4492468911555465E+06   9.4781763597764069E+01
        4040.0000  -9.4482934276751373E+06   9.5346348040923473E+01
        4050.0000  -9.4473345120129511E+06   9.5891566218622032E+01
        4060.0000  -9.4463703347922433E+06   9.6417722070775923E+01
        4070.0000  -9.4454010836280342E+06   9.6925116420909760E+01
        4080.0000  -9.4444269431575891E+06   9.7414047044515613E+01
        4090.0000  -9.4434480950711183E+06   9.7884808647073811E+01
        4100.0000  -9.4424647181421965E+06   9.8337692892178893E+01
        4110.0000  -9.4414769882580880E+06   9.8772988410852847E+01
        4120.0000  -9.4404850784498993E+06   9.9190980818867686E+01
        4130.0000  -9.4394891589226499E+06   9.9591952724941081E+01
        4140.0000  -9.4384893970851749E+06   9.9976183747500187E+01
        4150.0000  -9.4374859575797934E+06   1.0034395053815096E+02
        4160.0000  -9.4364790023120027E+06   1.0069552677907049E+02
        4170.0000  -9.4354686904798690E+06   1.0103118321336805E+02
        4180.0000  -9.4344551786033809E+06   1.0135118764881045E+02
        4190.0000  -9.4334386205534860E+06   1.0165580498948694E+02
        4200.0000  -9.4324191675812751E+06   1.0194529722109436E+02
        4210.0000  -9.4313969683466665E+06   1.0221992346085608E+02
        4220.0000  -9.4303721689470522E+06   1.0247993996143342E+02
        4230.0000  -9.4293449129460901E+06   1.0272560009621084E+02
        4240.0000  -9.4283153414016888E+06   1.0295715444013476E+02
        4250.0000  -9.4272835928946044E+06   1.0317485070843250E+02
